numDatasets,domain
,2014bonds.cityofws.org
,bchi.bigcitieshealth.org
,bea.data.commerce.gov
,brigades.opendatanetwork.com
,ca-boe
,capitalprojects.jacksonms.gov
,capitalprojects.seattle.gov
,chhs.data.ca.gov
,cip.cityofnovi.org
,dashboard.slco.org
,data.atf.gov
,data.awcnet.org
,data.baltimorecity.gov
,data.burlingtonvt.gov
,data.cic.mx
,data.cityofboston.gov
,data.cityofmadison.com
,data.cityofwestsacramento.org
,data.cms.gov
,data.code4sa.org
,data.consumerfinance.gov
,data.danvilleva.gov
,data.datamontana.us
,data.dcpcsb.org
,data.detroitmi.gov
,data.gates.org
,data.govloop.com
,data.greensboro-nc.gov
,data.healthcare.gov
,data.illinois.gov
,data.imls.gov
,data.indy.gov
,data.jacksonms.gov
,data.kray.com
,data.littlerock.org
,data.maine.gov
,data.map.uncdf.org
,data.mass.gov
,data.medicaid.gov
,data.medicare.gov
,data.menlopark.org
,data.montgomeryal.gov
,data.nccde.org
,data.nfpa.org
,data.nlc.org
,data.oaklandnet.com
,data.ojp.gov
,data.ojp.usdoj.gov
,data.phila.gov
,data.policefoundation.org
,data.princeedwardisland.ca
,data.raleighnc.gov
,data.rentonwa.gov
,data.rutlandcitypolice.com
,data.southbendin.gov
,data.srcity.org
,data.sunlightlabs.com
,data.timapforjustice.org
,data.tol.ca
,data.topeka.org
,data.vta.org
,domain
,electionsdata.kingcounty.gov
,greengov.data.ca.gov
,hsmp-data.aspe.hhs.gov
,impact.glispa.org
,mayorbudget.miamidade.gov
,nist.data.commerce.gov
,njdoh
,opendata.ci.richmond.ca.us
,opendata.lasvegasnevada.gov
,opendata.miamidade.gov
,openpaymentsdata.cms.gov
,open.whitehouse.gov
,performance.action.act.gov.au
,performance.adcogov.org
,performance.danvilleva.gov
,performance.glendaleca.gov
,performance.kingcounty.gov
,performance.lacity.org
,performance.louisvilleky.gov
,performance.reno.gov
,performance.vbgov.com
,performance.williamsburgva.gov
,pqrs.cms.gov
,projects.topeka.org
,reports.awcnet.org
,reports.data.imls.gov
,results.nola.gov
,ship.dfs.ny.gov
,strategicplanning1.aspe.hhs.gov
,www.aercdevdata.org
,www.criminalytics.org
,www.forsythfutures.org
,www.metrochicagodata.org
,www.pipadados.com
,www.sudandata.org
10000,data.nasa.gov
10000,nasa-test-0.demo.socrata.com
10000,www.datos.gov.co
